fold,auc,MCC,G,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,algorithm,train_or_test,model_id,project,run
1,0.943,0.731,0.847,0.929,0.998,0.951,0.965,0.958,0.804,0.743,0.772,RF_new,train,best_performance_model,Eclipse,0
2,0.949,0.752,0.854,0.937,0.998,0.955,0.971,0.963,0.827,0.752,0.788,RF_new,train,best_performance_model,Eclipse,0
3,0.951,0.749,0.857,0.937,0.998,0.957,0.969,0.963,0.814,0.758,0.785,RF_new,train,best_performance_model,Eclipse,0
4,0.955,0.762,0.860,0.942,0.997,0.959,0.974,0.966,0.833,0.760,0.795,RF_new,train,best_performance_model,Eclipse,0
5,0.957,0.757,0.855,0.944,0.998,0.960,0.975,0.967,0.829,0.750,0.788,RF_new,train,best_performance_model,Eclipse,0
1,0.877,0.614,0.745,0.914,0.990,0.931,0.970,0.951,0.763,0.572,0.654,RF_new,test,best_performance_model,Eclipse,0
2,0.833,0.561,0.706,0.908,0.955,0.927,0.969,0.948,0.724,0.514,0.601,RF_new,test,best_performance_model,Eclipse,0
3,0.840,0.572,0.706,0.910,0.981,0.927,0.973,0.949,0.747,0.512,0.608,RF_new,test,best_performance_model,Eclipse,0
4,0.855,0.599,0.732,0.919,0.983,0.937,0.973,0.955,0.747,0.551,0.634,RF_new,test,best_performance_model,Eclipse,0
5,0.836,0.546,0.682,0.915,0.985,0.931,0.976,0.953,0.729,0.476,0.576,RF_new,test,best_performance_model,Eclipse,0
1,0.847,0.490,0.745,0.845,0.973,0.918,0.892,0.905,0.549,0.622,0.583,RF_old,train,best_performance_model,Eclipse,0
2,0.848,0.491,0.746,0.845,0.977,0.919,0.892,0.905,0.549,0.624,0.584,RF_old,train,best_performance_model,Eclipse,0
3,0.847,0.490,0.745,0.845,0.973,0.918,0.892,0.905,0.548,0.623,0.583,RF_old,train,best_performance_model,Eclipse,0
4,0.847,0.494,0.747,0.847,0.972,0.919,0.893,0.906,0.552,0.624,0.586,RF_old,train,best_performance_model,Eclipse,0
5,0.847,0.492,0.745,0.847,0.969,0.918,0.894,0.906,0.552,0.621,0.584,RF_old,train,best_performance_model,Eclipse,0
1,0.866,0.551,0.758,0.890,0.978,0.936,0.936,0.936,0.615,0.615,0.615,RF_old,test,best_performance_model,Eclipse,0
2,0.832,0.536,0.742,0.894,0.958,0.935,0.942,0.939,0.612,0.584,0.597,RF_old,test,best_performance_model,Eclipse,0
3,0.827,0.505,0.719,0.887,0.979,0.930,0.940,0.935,0.592,0.550,0.570,RF_old,test,best_performance_model,Eclipse,0
4,0.849,0.566,0.764,0.904,0.981,0.945,0.946,0.945,0.624,0.617,0.621,RF_old,test,best_performance_model,Eclipse,0
5,0.788,0.496,0.689,0.900,0.952,0.932,0.956,0.944,0.610,0.497,0.548,RF_old,test,best_performance_model,Eclipse,0
1,0.942,0.730,0.846,0.928,0.997,0.951,0.964,0.958,0.802,0.743,0.771,RF_new,train,best_performance_model,Eclipse,1
2,0.949,0.751,0.855,0.936,0.998,0.955,0.971,0.963,0.826,0.752,0.787,RF_new,train,best_performance_model,Eclipse,1
3,0.955,0.756,0.862,0.938,0.998,0.958,0.969,0.964,0.819,0.766,0.792,RF_new,train,best_performance_model,Eclipse,1
4,0.954,0.761,0.858,0.942,0.997,0.959,0.974,0.966,0.834,0.757,0.793,RF_new,train,best_performance_model,Eclipse,1
5,0.957,0.757,0.857,0.944,0.998,0.961,0.975,0.967,0.828,0.753,0.789,RF_new,train,best_performance_model,Eclipse,1
1,0.875,0.613,0.745,0.913,0.988,0.931,0.970,0.950,0.762,0.572,0.653,RF_new,test,best_performance_model,Eclipse,1
2,0.833,0.564,0.705,0.909,0.956,0.927,0.971,0.948,0.732,0.511,0.602,RF_new,test,best_performance_model,Eclipse,1
3,0.841,0.572,0.706,0.910,0.984,0.927,0.973,0.949,0.749,0.512,0.608,RF_new,test,best_performance_model,Eclipse,1
4,0.854,0.605,0.733,0.921,0.985,0.937,0.974,0.956,0.757,0.552,0.639,RF_new,test,best_performance_model,Eclipse,1
5,0.837,0.553,0.684,0.916,0.982,0.932,0.977,0.954,0.739,0.479,0.582,RF_new,test,best_performance_model,Eclipse,1
1,0.847,0.492,0.745,0.846,0.973,0.918,0.893,0.906,0.551,0.622,0.584,RF_old,train,best_performance_model,Eclipse,1
2,0.847,0.496,0.747,0.848,0.973,0.919,0.896,0.907,0.557,0.623,0.588,RF_old,train,best_performance_model,Eclipse,1
3,0.846,0.486,0.746,0.843,0.970,0.919,0.888,0.903,0.541,0.626,0.581,RF_old,train,best_performance_model,Eclipse,1
4,0.847,0.489,0.748,0.843,0.973,0.920,0.888,0.903,0.542,0.631,0.583,RF_old,train,best_performance_model,Eclipse,1
5,0.848,0.494,0.748,0.846,0.973,0.919,0.892,0.905,0.550,0.627,0.586,RF_old,train,best_performance_model,Eclipse,1
1,0.868,0.554,0.755,0.892,0.982,0.935,0.940,0.937,0.627,0.607,0.617,RF_old,test,best_performance_model,Eclipse,1
2,0.832,0.537,0.735,0.895,0.960,0.934,0.946,0.940,0.623,0.571,0.596,RF_old,test,best_performance_model,Eclipse,1
3,0.823,0.494,0.720,0.882,0.970,0.930,0.933,0.932,0.568,0.556,0.562,RF_old,test,best_performance_model,Eclipse,1
4,0.848,0.555,0.767,0.900,0.979,0.945,0.939,0.942,0.600,0.626,0.613,RF_old,test,best_performance_model,Eclipse,1
5,0.791,0.488,0.692,0.897,0.957,0.933,0.952,0.942,0.590,0.503,0.543,RF_old,test,best_performance_model,Eclipse,1
