train_or_test,model_id,algorithm,run,file_id,project_name,G,precision,fn,accuracy,fp,balance,fpr,f1,fnr,MCC,tpr,tnr,tn,tp
test,best_model_performance,ibea,0,Eclipse_all,Eclipse,0.08967435592565046,0.15430136793860957,13.0,0.16003208313717285,48160.0,0.7042541135363674,0.9919466128401063,0.26729736718025154,0.0014772727272727272,0.028338945111637603,0.9985227272727273,0.00805338715989372,391.0,8787.0
train,best_model_performance,ibea,0,Eclipse_all,Eclipse,0.32472241084263975,0.10491306883756717,17.0,0.19047565614515424,72127.0,0.6687097915866661,0.8943433191151672,0.18986659479854467,0.0020068468893873217,0.10328526094147315,0.9979931531106127,0.10565668088483285,8521.0,8454.0
test,model1,ibea,0,Eclipse_all,Eclipse,0.5705071308617488,0.2043808649530804,785.0,0.4422765078202647,31201.0,0.5695636320964872,0.6426438178410332,0.33384705098300566,0.08920454545454545,0.20784063039700415,0.9107954545454545,0.35735618215896686,17350.0,8015.0
train,model1,ibea,0,Eclipse_all,Eclipse,0.7099825399894262,0.18140443804479187,1416.0,0.6268809120389591,31836.0,0.4629718150670843,0.39475250471183415,0.29791816223977036,0.1671585409042616,0.2590770523302106,0.8328414590957384,0.6052474952881659,48812.0,7055.0
test,model10,ibea,0,Eclipse_all,Eclipse,0.6393946716586538,0.22912896609965014,1203.0,0.5333647190110025,25559.0,0.5214864523450864,0.5264361187205207,0.36214129087615604,0.13670454545454547,0.2458358042746081,0.8632954545454545,0.4735638812794793,22992.0,7597.0
train,model10,ibea,0,Eclipse_all,Eclipse,0.7390732331680544,0.22378628848246568,2096.0,0.7283631997666042,22112.0,0.42972063799335647,0.27417914889395895,0.34498620055197793,0.24743241647975445,0.30086419638780176,0.7525675835202456,0.7258208511060411,58536.0,6375.0
test,model100,ibea,0,Eclipse_all,Eclipse,0.5047590755720095,0.18957703927492447,517.0,0.37357674670014474,35409.0,0.6048462784838812,0.7293155650758996,0.3155909471919531,0.05875,0.17932115894712577,0.94125,0.27068443492410044,13142.0,8283.0
train,model100,ibea,0,Eclipse_all,Eclipse,0.6764420222346315,0.16132952413440219,904.0,0.548457680180433,39337.0,0.4996495988005012,0.48776163079059615,0.2733002257336343,0.10671703458859638,0.23819876852840158,0.8932829654114036,0.5122383692094038,41311.0,7567.0
test,model101,ibea,0,Eclipse_all,Eclipse,0.7256939439676948,0.3133067577828398,2198.0,0.7093686247842235,14470.0,0.4409424923652202,0.2980371156103891,0.44201928227102305,0.24977272727272729,0.3380500449069854,0.7502272727272727,0.701962884389611,34081.0,6602.0
train,model101,ibea,0,Eclipse_all,Eclipse,0.7307122671005138,0.3044173952797303,3144.0,0.8281399028265577,12172.0,0.4475837695438513,0.15092748735244518,0.4102425876010781,0.37114862471963167,0.3528572995488708,0.6288513752803683,0.8490725126475548,68476.0,5327.0
