file_id,algorithm,project_name,MCC,f1_M,f1_A,is_new_or_old
Eclipse_new_0,ibea_new,Eclipse,0.650356864,0.956953285,0.65514261,new
Eclipse_new_0,DT_new,Eclipse,0.474,0.904,0.553,new
Eclipse_new_0,RF_new,Eclipse,0.652,0.957,0.662,new
Eclipse_new_0,LR_new,Eclipse,0.446,0.9,0.53,new
Eclipse_new_0,LGBM_new,Eclipse,0.527,0.928,0.598,new
Eclipse_new_0,ET_new,Eclipse,0.655,0.957,0.663,new
Eclipse_new_0,ibea_new,Eclipse,0.643864474,0.956079619,0.656514382,new
Eclipse_new_0,DT_new,Eclipse,0.474,0.904,0.553,new
Eclipse_new_0,RF_new,Eclipse,0.653,0.957,0.662,new
Eclipse_new_0,LR_new,Eclipse,0.446,0.9,0.53,new
Eclipse_new_0,LGBM_new,Eclipse,0.527,0.928,0.598,new
Eclipse_new_0,ET_new,Eclipse,0.655,0.957,0.663,new
Eclipse_new_0,ibea_new,Eclipse,0.642162337,0.956128059,0.645778938,new
Eclipse_new_0,DT_new,Eclipse,0.476,0.904,0.555,new
Eclipse_new_0,RF_new,Eclipse,0.652,0.957,0.662,new
Eclipse_new_0,LR_new,Eclipse,0.446,0.9,0.53,new
Eclipse_new_0,LGBM_new,Eclipse,0.527,0.928,0.598,new
Eclipse_new_0,ET_new,Eclipse,0.655,0.957,0.663,new
Eclipse_new_0,ibea_new,Eclipse,0.646516589,0.95645597,0.655849701,new
Eclipse_new_0,DT_new,Eclipse,0.476,0.904,0.555,new
Eclipse_new_0,RF_new,Eclipse,0.653,0.957,0.663,new
Eclipse_new_0,LR_new,Eclipse,0.446,0.9,0.53,new
Eclipse_new_0,LGBM_new,Eclipse,0.527,0.928,0.598,new
Eclipse_new_0,ET_new,Eclipse,0.655,0.957,0.663,new
Eclipse_new_0,ibea_new,Eclipse,0.654451166,0.957348019,0.660944206,new
Eclipse_new_0,DT_new,Eclipse,0.476,0.904,0.555,new
Eclipse_new_0,RF_new,Eclipse,0.652,0.957,0.662,new
Eclipse_new_0,LR_new,Eclipse,0.446,0.9,0.53,new
Eclipse_new_0,LGBM_new,Eclipse,0.527,0.928,0.598,new
Eclipse_new_0,ET_new,Eclipse,0.655,0.957,0.663,new
Eclipse_new_1,ibea_new,Eclipse,0.588299162,0.952688172,0.608540925,new
Eclipse_new_1,DT_new,Eclipse,0.488,0.927,0.559,new
Eclipse_new_1,RF_new,Eclipse,0.584,0.952,0.607,new
Eclipse_new_1,LR_new,Eclipse,0.376,0.881,0.467,new
Eclipse_new_1,LGBM_new,Eclipse,0.494,0.926,0.565,new
Eclipse_new_1,ET_new,Eclipse,0.585,0.952,0.608,new
Eclipse_new_1,ibea_new,Eclipse,0.584630162,0.952391188,0.604110813,new
Eclipse_new_1,DT_new,Eclipse,0.488,0.927,0.559,new
Eclipse_new_1,RF_new,Eclipse,0.583,0.952,0.607,new
Eclipse_new_1,LR_new,Eclipse,0.376,0.881,0.467,new
Eclipse_new_1,LGBM_new,Eclipse,0.494,0.926,0.565,new
Eclipse_new_1,ET_new,Eclipse,0.58,0.952,0.604,new
Eclipse_new_1,ibea_new,Eclipse,0.578409473,0.951746373,0.598748883,new
Eclipse_new_1,DT_new,Eclipse,0.488,0.927,0.559,new
Eclipse_new_1,RF_new,Eclipse,0.58,0.952,0.603,new
Eclipse_new_1,LR_new,Eclipse,0.376,0.881,0.467,new
Eclipse_new_1,LGBM_new,Eclipse,0.494,0.926,0.565,new
Eclipse_new_1,ET_new,Eclipse,0.582,0.952,0.605,new
Eclipse_new_1,ibea_new,Eclipse,0.582112387,0.952043011,0.603202847,new
Eclipse_new_1,DT_new,Eclipse,0.488,0.927,0.559,new
Eclipse_new_1,RF_new,Eclipse,0.586,0.952,0.609,new
Eclipse_new_1,LR_new,Eclipse,0.376,0.881,0.467,new
Eclipse_new_1,LGBM_new,Eclipse,0.494,0.926,0.565,new
Eclipse_new_1,ET_new,Eclipse,0.584,0.952,0.607,new
Eclipse_new_1,ibea_new,Eclipse,0.598242295,0.951760104,0.636065574,new
Eclipse_new_1,DT_new,Eclipse,0.488,0.927,0.559,new
Eclipse_new_1,RF_new,Eclipse,0.585,0.952,0.608,new
Eclipse_new_1,LR_new,Eclipse,0.376,0.881,0.467,new
Eclipse_new_1,LGBM_new,Eclipse,0.494,0.926,0.565,new
Eclipse_new_1,ET_new,Eclipse,0.582,0.952,0.606,new
Eclipse_new_2,ibea_new,Eclipse,0.603481181,0.954169797,0.61496844,new
Eclipse_new_2,DT_new,Eclipse,0.449,0.914,0.529,new
Eclipse_new_2,RF_new,Eclipse,0.607,0.954,0.622,new
Eclipse_new_2,LR_new,Eclipse,0.409,0.897,0.495,new
Eclipse_new_2,LGBM_new,Eclipse,0.508,0.931,0.577,new
Eclipse_new_2,ET_new,Eclipse,0.606,0.954,0.621,new
Eclipse_new_2,ibea_new,Eclipse,0.591505526,0.952524491,0.612137203,new
Eclipse_new_2,DT_new,Eclipse,0.449,0.914,0.529,new
Eclipse_new_2,RF_new,Eclipse,0.609,0.955,0.623,new
Eclipse_new_2,LR_new,Eclipse,0.409,0.897,0.495,new
Eclipse_new_2,LGBM_new,Eclipse,0.508,0.931,0.577,new
Eclipse_new_2,ET_new,Eclipse,0.608,0.954,0.623,new
Eclipse_new_2,ibea_new,Eclipse,0.602649466,0.953875927,0.618666667,new
Eclipse_new_2,DT_new,Eclipse,0.449,0.914,0.529,new
Eclipse_new_2,RF_new,Eclipse,0.607,0.954,0.622,new
Eclipse_new_2,LR_new,Eclipse,0.409,0.897,0.495,new
Eclipse_new_2,LGBM_new,Eclipse,0.508,0.931,0.577,new
Eclipse_new_2,ET_new,Eclipse,0.607,0.954,0.622,new
Eclipse_new_2,ibea_new,Eclipse,0.598840471,0.953770246,0.609247507,new
Eclipse_new_2,DT_new,Eclipse,0.449,0.914,0.529,new
Eclipse_new_2,RF_new,Eclipse,0.61,0.955,0.624,new
Eclipse_new_2,LR_new,Eclipse,0.409,0.897,0.495,new
Eclipse_new_2,LGBM_new,Eclipse,0.508,0.931,0.577,new
Eclipse_new_2,ET_new,Eclipse,0.608,0.954,0.623,new
Eclipse_new_2,ibea_new,Eclipse,0.594654654,0.952688867,0.617262424,new
Eclipse_new_2,DT_new,Eclipse,0.449,0.914,0.529,new
Eclipse_new_2,RF_new,Eclipse,0.606,0.954,0.621,new
Eclipse_new_2,LR_new,Eclipse,0.409,0.897,0.495,new
Eclipse_new_2,LGBM_new,Eclipse,0.508,0.931,0.577,new
Eclipse_new_2,ET_new,Eclipse,0.609,0.955,0.624,new
Eclipse_new_3,ibea_new,Eclipse,0.607519015,0.956110155,0.638938053,new
Eclipse_new_3,DT_new,Eclipse,0.473,0.921,0.544,new
Eclipse_new_3,RF_new,Eclipse,0.61,0.957,0.637,new
Eclipse_new_3,LR_new,Eclipse,0.437,0.908,0.512,new
Eclipse_new_3,LGBM_new,Eclipse,0.548,0.941,0.607,new
Eclipse_new_3,ET_new,Eclipse,0.613,0.957,0.638,new
Eclipse_new_3,ibea_new,Eclipse,0.608219908,0.956362855,0.638146168,new
Eclipse_new_3,DT_new,Eclipse,0.473,0.921,0.544,new
