Source,Target,algorithm,MCC,f1_A,f1_M
Libreoffice,Eclipse,DT,0.264035129,0.383784086,0.721335967
Libreoffice,Eclipse,DT,0.264085747,0.383807844,0.721312721
Libreoffice,Eclipse,DT,0.264085747,0.383807844,0.721312721
Libreoffice,Eclipse,DT,0.264085747,0.383807844,0.721312721
Libreoffice,Eclipse,DT,0.264085747,0.383807844,0.721312721
Libreoffice,Eclipse,RF,0.361320089,0.462843325,0.828921202
Libreoffice,Eclipse,RF,0.358252268,0.459548531,0.823653204
Libreoffice,Eclipse,RF,0.361521923,0.462727338,0.827946593
Libreoffice,Eclipse,RF,0.358096148,0.460127535,0.826358483
Libreoffice,Eclipse,RF,0.354880122,0.45754801,0.824262711
Libreoffice,Eclipse,LR,0.17717273,0.325984854,0.572767546
Libreoffice,Eclipse,LR,0.17717273,0.325984854,0.572767546
Libreoffice,Eclipse,LR,0.17717273,0.325984854,0.572767546
Libreoffice,Eclipse,LR,0.17717273,0.325984854,0.572767546
Libreoffice,Eclipse,LR,0.17717273,0.325984854,0.572767546
Libreoffice,Eclipse,LGBM,0.318719725,0.428737735,0.797074565
Libreoffice,Eclipse,LGBM,0.318719725,0.428737735,0.797074565
Libreoffice,Eclipse,LGBM,0.318719725,0.428737735,0.797074565
Libreoffice,Eclipse,LGBM,0.318719725,0.428737735,0.797074565
Libreoffice,Eclipse,LGBM,0.318719725,0.428737735,0.797074565
Libreoffice,Eclipse,ET,0.320225697,0.429427144,0.795928271
Libreoffice,Eclipse,ET,0.238864212,0.36083964,0.64676819
Libreoffice,Eclipse,ET,0.237565806,0.359930679,0.644351918
Libreoffice,Eclipse,ET,0.234238214,0.357339118,0.63579741
Libreoffice,Eclipse,ET,0.225854558,0.351795841,0.621010749
Libreoffice,Gerrithub,DT,0.157117316,0.263796967,0.698469616
Libreoffice,Gerrithub,DT,0.157117316,0.263796967,0.698469616
Libreoffice,Gerrithub,DT,0.157117316,0.263796967,0.698469616
Libreoffice,Gerrithub,DT,0.157117316,0.263796967,0.698469616
